,HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
161,Austria,Croatia,2008,0,1,1
162,Germany,Poland,2008,2,0,2
163,Croatia,Germany,2008,2,1,3
164,Austria,Poland,2008,1,1,2
165,Poland,Croatia,2008,0,1,1
166,Austria,Germany,2008,0,1,1
167,Romania,France,2008,0,0,0
168,Netherlands,Italy,2008,3,0,3
169,Italy,Romania,2008,1,1,2
170,Netherlands,France,2008,4,1,5
171,Netherlands,Romania,2008,2,0,2
172,France,Italy,2008,0,2,2
173,Spain,Russia,2008,4,1,5
174,Greece,Sweden,2008,0,2,2
175,Sweden,Spain,2008,1,2,3
176,Greece,Russia,2008,0,1,1
177,Greece,Spain,2008,1,2,3
178,Russia,Sweden,2008,2,0,2
179,Portugal,Germany,2008,2,3,5
180,Croatia,Turkey,2008,1,1,2
181,Netherlands,Russia,2008,1,3,4
182,Spain,Italy,2008,0,0,0
183,Germany,Turkey,2008,3,2,5
184,Russia,Spain,2008,0,3,3
185,Final,finalaway,2008,0,1,1
186,Germany,Romania,2012,1,1,2
187,Portugal,England,2012,3,2,5
188,Romania,Portugal,2012,0,1,1
189,England,Germany,2012,1,0,1
190,England,Romania,2012,2,3,5
191,Portugal,Germany,2012,3,0,3
192,Belgium,Sweden,2012,2,1,3
193,Turkey,Italy,2012,1,2,3
194,Italy,Belgium,2012,2,0,2
195,Sweden,Turkey,2012,0,0,0
196,Turkey,Belgium,2012,2,0,2
197,Italy,Sweden,2012,2,1,3
198,Spain,Norway,2012,0,1,1
199,FR,vs,2012,3,3,6
200,Slovenia,Spain,2012,1,2,3
201,Norway,FR,2012,0,1,1
202,FR,vs,2012,3,4,7
203,Slovenia,Norway,2012,0,0,0
204,France,Denmark,2012,3,0,3
205,Netherlands,Czech,2012,1,0,1
206,Czech,vs,2012,1,2,3
207,Denmark,Netherlands,2012,0,3,3
208,Denmark,Czech,2012,0,2,2
209,France,Netherlands,2012,2,3,5
210,Turkey,Portugal,2012,0,2,2
211,Italy,Romania,2012,2,0,2
212,Netherlands,FR,2012,6,1,7
213,Spain,France,2012,1,2,3
214,France,Portugal,2012,2,1,3
215,Italy,Netherlands,2012,0,0,0
216,Final,finalaway,2012,2,1,3
217,Portugal,Greece,2012,1,2,3
218,Spain,Russia,2012,1,0,1
219,Greece,Spain,2012,1,1,2
220,Russia,Portugal,2012,0,2,2
221,Spain,Portugal,2012,0,1,1
222,Russia,Greece,2012,2,1,3
223,Switzerland,Croatia,2012,0,0,0
224,France,England,2012,2,1,3
225,England,Switzerland,2012,3,0,3
226,Croatia,France,2012,2,2,4
227,Croatia,England,2012,2,4,6
228,Switzerland,France,2012,1,3,4
229,Denmark,Italy,2012,0,0,0
230,Sweden,Bulgaria,2012,5,0,5
231,Bulgaria,Denmark,2012,0,2,2
232,Italy,Sweden,2012,1,1,2
233,Italy,Bulgaria,2012,2,1,3
234,Denmark,Sweden,2012,2,2,4
235,Czech,vs,2012,2,1,3
236,Germany,Netherlands,2012,1,1,2
237,Latvia,Germany,2012,0,0,0
238,Netherlands,Czech,2012,2,3,5
239,Netherlands,Latvia,2012,3,0,3
240,Germany,Czech,2012,1,2,3
241,Portugal,England,2012,2,2,4
242,France,Greece,2012,0,1,1
243,Sweden,Netherlands,2012,0,0,0
244,Czech,vs,2012,3,0,3
245,Portugal,Netherlands,2012,2,1,3
246,Greece,Czech,2012,1,0,1
247,Final,finalaway,2012,0,1,1
248,Switzerland,Czech,2012,0,1,1
249,Portugal,Turkey,2012,2,0,2
250,Czech,vs,2012,1,3,4
251,Switzerland,Turkey,2012,1,2,3
252,Switzerland,Portugal,2012,2,0,2
253,Turkey,Czech,2012,3,2,5
254,Austria,Croatia,2012,0,1,1
255,Germany,Poland,2012,2,0,2
256,Croatia,Germany,2012,2,1,3
257,Austria,Poland,2012,1,1,2
258,Poland,Croatia,2012,0,1,1
259,Austria,Germany,2012,0,1,1
260,Romania,France,2012,0,0,0
261,Netherlands,Italy,2012,3,0,3
262,Italy,Romania,2012,1,1,2
263,Netherlands,France,2012,4,1,5
264,Netherlands,Romania,2012,2,0,2
265,France,Italy,2012,0,2,2
266,Spain,Russia,2012,4,1,5
